876 3 
1255 1262 1263 
1254 1255 1261 
1255 1261 1262 
282 293 412 
178 282 293 
178 293 305 
85 178 189 
104 189 201 
85 94 189 
94 104 189 
189 201 305 
178 189 305 
73 74 164 
37 94 104 
37 45 104 
45 104 114 
3 4 42 
3 4 28 
849 976 988 
965 1074 1081 
1074 1081 1176 
827 828 957 
828 957 966 
828 838 966 
462 603 617 
462 589 603 
603 617 761 
1066 1166 1167 
938 1066 1166 
965 1081 1082 
957 965 1082 
957 966 1082 
1081 1082 1183 
1082 1091 1183 
976 1082 1091 
966 976 1082 
424 551 563 
412 541 551 
412 424 551 
1091 1183 1191 
696 708 849 
696 838 849 
563 696 708 
551 563 696 
393 394 532 
394 532 533 
392 393 531 
532 677 678 
531 532 677 
532 533 678 
393 531 532 
677 678 820 
820 955 956 
820 827 956 
678 820 827 
269 391 392 
266 269 392 
158 266 269 
1184 1192 1257 
1192 1202 1257 
1202 1257 1264 
1262 1269 1270 
1269 1270 1277 
1262 1263 1270 
1270 1277 1278 
1 24 31 
20 21 27 
20 21 74 
18 23 24 
18 23 78 
403 542 552 
403 413 552 
283 403 413 
813 949 950 
949 950 1069 
9 52 60 
9 44 52 
9 13 60 
13 16 17 
12 13 16 
671 672 814 
528 671 672 
670 671 814 
670 671 674 
527 671 674 
527 528 671 
500 511 654 
500 642 654 
642 654 797 
134 236 246 
134 225 236 
134 143 246 
61 134 143 
53 134 225 
53 61 134 
376 511 521 
366 376 511 
366 500 511 
4 8 36 
4 8 42 
8 9 36 
8 9 13 
8 12 13 
8 12 42 
150 151 262 
142 150 151 
150 261 262 
151 255 262 
808 937 938 
798 808 937 
145 152 257 
68 145 152 
829 958 959 
821 829 959 
413 425 565 
425 564 565 
1092 1184 1192 
1092 1102 1192 
977 1092 1102 
1248 1251 1252 
954 955 1073 
954 1072 1073 
954 1071 1072 
1184 1251 1258 
1184 1257 1258 
1251 1252 1258 
1252 1258 1259 
1257 1264 1265 
1264 1265 1273 
1259 1265 1266 
1258 1259 1265 
1257 1258 1265 
1265 1266 1273 
542 552 687 
552 687 697 
952 953 1071 
952 1071 1076 
850 977 989 
850 862 989 
709 850 862 
709 839 850 
839 850 967 
850 967 977 
1178 1248 1251 
1076 1173 1178 
1072 1073 1175 
1072 1174 1175 
1073 1074 1175 
1074 1175 1176 
1174 1175 1250 
1255 1256 1263 
1183 1191 1256 
1182 1183 1256 
1182 1255 1256 
1182 1254 1255 
1081 1182 1183 
1081 1176 1182 
392 530 531 
817 818 953 
677 819 820 
818 819 955 
819 820 955 
73 157 164 
73 156 157 
75 159 160 
75 159 164 
158 159 164 
76 77 167 
22 77 84 
22 76 77 
77 167 168 
77 85 168 
77 84 85 
317 436 449 
449 576 589 
436 449 576 
330 462 475 
330 449 462 
449 462 589 
29 37 94 
29 84 94 
29 36 37 
28 29 84 
4 28 29 
4 29 36 
1200 1256 1263 
1191 1200 1256 
1200 1263 1271 
976 988 1101 
988 1000 1101 
1176 1182 1254 
1176 1250 1254 
1175 1176 1250 
827 956 957 
956 957 965 
686 828 838 
686 696 838 
816 948 949 
813 816 949 
670 813 816 
673 674 816 
541 551 696 
541 686 696 
540 541 686 
1263 1270 1271 
1270 1271 1278 
23 24 31 
23 30 31 
30 31 38 
0 1 24 
0 1 2 
0 24 25 
0 20 25 
0 20 27 
0 3 27 
0 2 3 
86 179 190 
86 95 190 
86 169 179 
947 948 1068 
948 949 1068 
947 1067 1068 
1068 1069 1172 
1067 1068 1172 
949 1068 1069 
511 521 664 
520 521 664 
511 654 664 
388 389 526 
389 526 527 
526 527 674 
959 1075 1076 
958 959 1075 
1075 1076 1178 
1174 1248 1249 
1248 1249 1252 
1173 1174 1248 
1173 1178 1248 
156 157 268 
542 679 687 
679 687 829 
679 821 829 
534 542 679 
1071 1072 1173 
1071 1076 1173 
829 840 958 
840 958 967 
839 840 967 
697 839 840 
687 697 840 
687 829 840 
531 676 677 
530 531 676 
676 677 819 
676 817 818 
676 818 819 
156 267 268 
213 317 330 
201 213 317 
317 330 449 
475 488 617 
462 475 617 
708 849 988 
708 861 988 
861 988 1000 
114 124 213 
124 213 342 
124 225 342 
159 266 271 
158 159 266 
23 78 95 
23 30 95 
78 86 95 
19 20 25 
19 20 74 
19 73 74 
18 19 25 
796 806 807 
796 797 807 
520 672 807 
520 664 807 
654 797 807 
672 806 807 
654 664 807 
958 1075 1083 
977 1083 1092 
967 977 1083 
958 967 1083 
396 529 534 
391 529 530 
391 392 530 
817 822 953 
822 952 953 
821 822 959 
822 952 959 
72 73 156 
18 19 72 
19 72 73 
169 274 283 
274 283 403 
157 158 164 
157 158 269 
157 268 269 
160 271 272 
159 160 271 
1075 1177 1178 
1075 1083 1177 
1092 1177 1184 
1083 1092 1177 
1177 1184 1251 
1177 1178 1251 
675 817 822 
18 78 170 
18 72 170 
86 169 170 
78 86 170 
395 403 542 
274 395 403 
267 274 395 
395 534 542 
267 268 396 
267 395 396 
395 396 534 
529 530 675 
530 675 817 
530 676 817 
529 534 680 
529 675 680 
534 679 680 
680 821 822 
675 680 822 
679 680 821 
161 267 274 
156 161 267 
72 156 161 
72 161 170 
161 169 274 
161 169 170 
268 391 396 
268 269 391 
391 396 529 
