1045 3
467 488 482 
525 519 536 
536 528 543 
536 519 528 
503 513 496 
496 482 503 
500 478 496 
496 513 500 
496 478 468 
468 482 496 
522 518 505 
505 515 522 
522 515 532 
522 535 518 
545 544 530 
530 540 545 
402 398 414 
414 427 402 
439 427 414 
414 438 439 
414 398 412 
412 438 414 
372 398 359 
391 398 372 
372 360 391 
359 344 372 
344 360 372 
332 347 365 
270 256 285 
480 490 504 
504 490 514 
514 524 504 
504 524 512 
484 461 473 
461 449 473 
473 449 462 
473 462 486 
486 495 473 
473 495 484 
486 474 497 
505 518 497 
247 233 219 
219 234 247 
232 204 218 
218 204 191 
246 261 280 
246 233 261 
246 218 233 
232 218 246 
280 260 246 
246 260 232 
381 368 354 
379 394 367 
352 379 367 
367 339 352 
367 354 339 
367 394 381 
381 354 367 
492 501 511 
507 492 511 
511 521 530 
511 501 521 
530 527 511 
511 527 507 
508 517 495 
508 497 518 
508 495 486 
486 497 508 
538 516 526 
526 542 538 
526 516 506 
506 517 526 
546 547 533 
533 526 517 
547 542 533 
542 526 533 
539 552 551 
551 535 539 
535 522 539 
539 522 532 
539 532 549 
549 552 539 
267 253 239 
212 227 239 
224 197 212 
212 239 224 
224 239 253 
224 253 238 
238 209 224 
224 209 197 
238 253 266 
266 252 238 
282 252 266 
363 377 349 
337 322 349 
349 364 337 
377 364 349 
93 109 83 
93 65 79 
83 65 93 
79 107 93 
121 109 93 
93 107 121 
91 80 106 
106 117 91 
80 92 106 
194 222 207 
222 234 207 
207 180 194 
234 219 207 
193 180 207 
207 219 193 
197 209 182 
194 167 182 
182 209 194 
199 183 210 
210 225 199 
237 225 210 
210 223 237 
210 183 195 
195 223 210 
125 140 114 
125 112 138 
125 138 152 
152 140 125 
125 114 100 
100 112 125 
131 105 114 
114 140 131 
119 105 131 
131 140 156 
131 144 119 
156 144 131 
189 217 202 
163 189 202 
173 196 185 
158 173 185 
198 172 185 
185 172 158 
303 316 331 
303 288 316 
31 40 50 
50 69 54 
54 34 50 
50 34 31 
53 75 66 
55 44 66 
66 44 53 
77 55 66 
66 88 77 
66 75 88 
88 75 99 
75 87 99 
99 87 111 
99 111 124 
124 112 99 
99 112 88 
53 44 32 
26 43 32 
32 43 53 
32 44 28 
28 15 32 
32 15 26 
56 43 39 
67 78 56 
39 46 56 
56 46 67 
441 413 428 
386 413 401 
386 385 371 
401 385 386 
442 429 417 
417 430 442 
442 467 454 
454 429 442 
442 456 467 
442 430 456 
371 385 346 
346 333 371 
341 369 353 
343 355 370 
328 355 343 
343 315 328 
380 409 393 
353 369 380 
380 369 396 
396 409 380 
237 223 250 
235 263 250 
250 223 235 
213 225 236 
236 221 213 
254 221 236 
340 307 325 
325 348 340 
312 336 325 
336 348 325 
378 351 366 
366 393 378 
353 380 366 
366 380 393 
312 297 324 
324 336 312 
324 351 336 
297 311 324 
317 289 304 
317 346 330 
317 330 302 
302 289 317 
304 333 317 
333 346 317 
231 215 244 
259 242 231 
231 244 259 
557 544 556 
544 545 556 
553 540 548 
553 545 540 
553 556 545 
365 376 350 
350 332 365 
350 376 363 
229 256 241 
256 270 241 
480 504 491 
491 501 481 
512 501 491 
491 504 512 
481 469 491 
491 469 480 
505 497 483 
483 497 474 
471 494 483 
483 494 505 
483 459 471 
483 474 459 
193 219 206 
206 219 233 
206 178 193 
206 191 178 
206 218 191 
233 218 206 
342 354 368 
368 355 342 
342 355 328 
328 314 342 
327 314 299 
339 354 327 
327 342 314 
354 342 327 
299 309 327 
309 339 327 
517 508 529 
529 533 517 
518 535 529 
529 508 518 
529 535 546 
546 533 529 
283 253 267 
283 266 253 
141 117 130 
117 106 130 
197 182 169 
169 184 197 
155 184 169 
230 202 217 
230 258 243 
230 217 245 
245 258 230 
229 196 214 
243 229 214 
214 230 243 
202 230 214 
179 173 159 
179 196 173 
179 159 163 
163 202 179 
179 214 196 
202 214 179 
211 196 229 
211 185 196 
229 241 211 
211 241 227 
211 227 198 
198 185 211 
318 303 331 
331 347 318 
347 332 318 
318 332 305 
303 318 290 
290 305 285 
290 318 305 
273 288 286 
288 303 286 
286 258 273 
303 290 286 
69 50 60 
60 50 40 
80 69 60 
70 80 60 
60 49 70 
60 40 49 
53 43 64 
43 56 64 
64 75 53 
64 56 78 
78 87 64 
64 87 75 
440 428 416 
454 468 440 
440 429 454 
416 429 440 
452 464 441 
441 428 452 
428 440 452 
452 440 468 
468 478 452 
478 464 452 
413 386 400 
416 428 400 
400 428 413 
358 385 373 
358 346 385 
373 345 358 
345 330 358 
330 346 358 
369 341 357 
384 369 357 
370 384 357 
357 343 370 
237 250 264 
265 278 254 
254 236 265 
326 311 298 
298 313 326 
326 341 353 
313 341 326 
338 366 351 
351 324 338 
338 324 311 
311 326 338 
353 366 338 
338 326 353 
215 231 203 
188 176 203 
176 215 203 
285 305 291 
291 270 285 
291 284 270 
306 284 291 
334 350 363 
322 306 334 
363 349 334 
334 349 322 
255 239 227 
227 241 255 
267 239 255 
255 284 267 
270 284 255 
255 241 270 
294 283 267 
294 306 322 
267 284 294 
294 284 306 
266 283 295 
282 266 295 
323 309 295 
295 309 282 
118 106 92 
118 130 106 
118 92 108 
118 108 129 
154 169 182 
154 182 167 
154 167 141 
141 130 154 
243 258 271 
271 290 285 
258 286 271 
271 286 290 
271 256 243 
285 256 271 
416 400 387 
387 404 416 
375 404 387 
387 361 375 
374 400 386 
371 356 374 
374 386 371 
374 356 361 
361 387 374 
374 387 400 
329 357 341 
329 313 301 
329 341 313 
301 315 329 
315 343 329 
343 357 329 
297 264 277 
277 264 250 
277 311 297 
277 250 263 
277 263 298 
298 311 277 
312 325 296 
278 265 296 
307 278 296 
296 325 307 
276 297 312 
276 264 297 
312 296 276 
276 296 265 
216 231 242 
216 203 231 
188 203 216 
306 291 320 
320 334 306 
350 334 320 
332 350 320 
305 332 320 
320 291 305 
308 295 283 
283 294 308 
308 337 323 
323 295 308 
308 322 337 
308 294 322 
155 169 142 
129 155 142 
142 118 129 
169 154 142 
130 118 142 
142 154 130 
249 276 265 
249 236 225 
249 265 236 
264 276 249 
249 225 237 
237 264 249 
